Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last
2023-02-09,35.40%,+5.82%,50.91%,61%,0,0,1.2705882352941,965,43.78
2023-02-08,29.58%,+0.44%,37.29%,18%,0,10,1.2705882352941,965,44.11
2023-02-07,29.14%,-0.02%,35.82%,15%,0,0,1.2705882352941,965,44.63
2023-02-06,29.17%,-0.55%,35.90%,16%,0,3,1.2635294117647,962,44.41
2023-02-03,29.72%,+5.16%,37.76%,18%,0,0,1.2635294117647,962,45.15
2023-02-02,24.56%,-5.90%,20.39%,1%,0,0,1.2635294117647,962,46.56
2023-02-01,30.46%,+0.25%,40.24%,23%,0,3,1.2635294117647,962,46.32
2023-01-31,30.21%,+1.02%,39.42%,21%,0,0,1.2635294117647,962,45.17
2023-01-30,29.19%,+1.51%,35.98%,16%,4,25,1.2309523809524,937,45.11
2023-01-27,27.68%,-0.08%,30.90%,8%,0,0,1.2309523809524,937,46.1
2023-01-26,27.76%,-0.55%,31.16%,8%,0,0,1.2309523809524,937,46.5
2023-01-25,28.31%,-0.22%,33.01%,9%,0,6,1.2487922705314,931,46.34
2023-01-24,28.53%,-0.55%,33.76%,9%,0,2,1.254854368932,929,46.3
2023-01-23,29.08%,+0.52%,35.61%,13%,0,4,1.8615751789976,1199,46.21
2023-01-20,28.56%,-1.30%,33.85%,9%,0.775,71,0.89593301435407,1585,46.2
2023-01-19,29.85%,-0.10%,38.21%,16%,0.5,3,0.89580838323353,1583,45.53
2023-01-18,29.95%,+0.44%,38.54%,16%,0,0,0.89580838323353,1583,45.71
2023-01-17,29.51%,+1.93%,37.07%,14%,0,52,0.95286624203822,1533,45.83
2023-01-13,27.58%,-1.40%,30.57%,8%,0.64102564102564,128,0.97350069735007,1415,47.67
2023-01-12,28.98%,-2.86%,35.26%,11%,0.57954545454545,139,1.0109375,1287,47.34
2023-01-11,31.84%,-0.52%,44.88%,30%,0,0,1.0109375,1287,46.33
2023-01-10,32.36%,+1.19%,46.63%,36%,0,1,1.0109375,1287,45.9
2023-01-09,31.17%,-1.95%,42.63%,24%,0,63,1.1116838487973,1229,45.74
2023-01-06,33.11%,+0.28%,49.18%,41%,0,10,1.0945017182131,1219,45.2
2023-01-05,32.84%,+0.84%,48.24%,38%,0.63157894736842,62,1.1268382352941,1157,44.15
2023-01-04,31.99%,+0.04%,45.41%,32%,4.2758620689655,153,0.95339805825243,1006,45.37
2023-01-03,31.96%,-0.09%,45.28%,32%,4.3333333333333,16,0.94921875,998,43.74
2022-12-30,32.05%,+1.02%,45.59%,33%,0,3,0.947265625,997,42.41
2022-12-29,31.03%,-0.63%,42.16%,25%,0,0,0.947265625,997,43.63
2022-12-28,31.66%,+0.58%,44.29%,31%,0,0,0.947265625,997,42.82
2022-12-27,31.08%,+1.57%,42.32%,26%,0,17,0.927734375,987,43.83
2022-12-23,29.51%,-1.28%,37.04%,17%,2,9,0.92141453831041,978,43.34
2022-12-22,30.79%,+1.15%,41.36%,25%,0.66666666666667,5,0.92292490118577,973,42.67
2022-12-21,29.64%,-1.77%,37.50%,18%,0,0,0.92292490118577,973,43.17
2022-12-20,31.41%,+0.28%,43.45%,28%,0.030769230769231,67,1.0544217687075,906,42.12
2022-12-19,31.13%,-0.37%,42.52%,26%,0.11764705882353,19,0.90403071017274,992,42.23
2022-12-16,31.50%,-4.16%,43.76%,29%,1.2,11,0.93282149712092,1007,40.92
2022-12-15,35.66%,+2.69%,57.74%,61%,0.12,224,0.95445920303605,1030,41.02
2022-12-14,32.97%,-2.57%,48.69%,40%,0,200,1.2656546489564,1194,43.12
2022-12-13,35.54%,+1.84%,57.33%,60%,0,1,1.2680608365019,1193,43.02
2022-12-12,33.70%,+0.29%,51.15%,47%,0,0,1.2216117216117,1213,42.8
2022-12-09,33.41%,-0.13%,50.17%,45%,0,0,1.2216117216117,1213,43.12
2022-12-08,33.54%,-1.55%,50.61%,46%,0,0,1.2216117216117,1213,43.91
2022-12-07,35.09%,+1.61%,55.83%,56%,0,4,1.2306273062731,1209,43.95
2022-12-06,33.49%,-3.21%,50.43%,46%,0,1,1.2306273062731,1209,43.45
2022-12-05,36.70%,+1.31%,61.23%,68%,0,2,1.2329020332717,1208,43.03
2022-12-02,35.38%,+0.63%,56.81%,58%,0,9,1.2467289719626,1202,43.03
2022-12-01,34.76%,+1.95%,54.71%,53%,0.6,8,1.2429906542056,1200,42.37
2022-11-30,32.80%,-2.13%,48.14%,39%,3,12,1.2514071294559,1200,44.45
2022-11-29,34.94%,+0.99%,55.31%,54%,0,0,1.2514071294559,1200,44.15
2022-11-28,33.94%,-2.67%,51.97%,48%,0.076923076923077,14,1.2699619771863,1194,43.78
2022-11-25,36.61%,+0.68%,60.95%,67%,0,4,1.2737642585551,1196,44.21
2022-11-23,35.93%,-0.26%,58.66%,62%,0.14285714285714,80,1.4316702819957,1121,44.74
2022-11-22,36.19%,+0.29%,59.52%,63%,1,2,1.4347826086957,1120,43.6
2022-11-21,35.90%,-4.83%,58.54%,62%,0.2,12,1.6407982261641,1191,43.02
2022-11-18,40.73%,+1.47%,74.80%,89%,0.5,3,0.48689384010485,2269,43.45
2022-11-17,39.26%,+1.01%,69.86%,84%,2.7142857142857,52,0.46259842519685,2229,43.53
2022-11-16,38.25%,-0.85%,66.46%,77%,0,1,0.46194225721785,2228,43.32
2022-11-15,39.10%,+1.03%,69.32%,83%,0,4,0.46194225721785,2228,43.33
2022-11-14,38.07%,+2.43%,65.85%,77%,0,1,0.46259842519685,2229,43.29
2022-11-11,35.64%,-3.18%,57.69%,63%,0.28571428571429,18,0.46245059288538,2220,43.85
2022-11-10,38.24%,+1.16%,66.41%,81%,0,1217,0.53875671527245,2005,43.26
2022-11-09,37.07%,+0.61%,62.50%,71%,0,6,0.53415195702226,1999,40.73
2022-11-08,36.46%,-1.59%,60.44%,69%,9.5,63,0.49345650500385,1940,41.36
2022-11-07,38.05%,-0.19%,65.78%,79%,13,14,0.48536209553159,1928,40.99
2022-11-04,38.24%,+0.93%,66.43%,81%,0,54,0.44453004622496,1875,40.73
2022-11-03,37.31%,+1.25%,63.30%,75%,0,78,0.47149460708783,1910,37.55
2022-11-02,36.06%,-2.10%,59.08%,67%,0,37,0.44530046224961,1876,38.1
2022-11-01,38.16%,+0.12%,66.14%,81%,14.6,78,0.39305019305019,1804,38.38
2022-10-31,38.04%,+0.01%,65.75%,80%,0.0029940119760479,1005,1.722972972973,806,37.99
2022-10-28,38.03%,+0.96%,65.73%,80%,0,0,1.722972972973,806,38.5
2022-10-27,37.07%,+1.66%,62.48%,74%,0,6,1.7027027027027,800,38.71
2022-10-26,35.41%,-5.91%,56.90%,66%,0.16666666666667,7,1.7344827586207,793,38.79
2022-10-25,41.32%,+1.45%,76.79%,94%,0,7,1.7773851590106,786,37.19
2022-10-24,39.87%,-0.63%,71.91%,88%,0.5,18,0.20670584168683,3491,36.32
2022-10-21,40.50%,+2.49%,74.04%,90%,0.125,9,0.49931034482759,4348,37.93
2022-10-20,38.02%,-0.27%,65.67%,81%,0,2,0.49965493443754,4346,36.82
2022-10-19,38.29%,-0.86%,66.59%,83%,0,20,0.55624568668047,4510,37.21
2022-10-18,39.15%,-0.16%,69.49%,85%,367,368,0.49430445288229,4329,37.78
2022-10-17,39.31%,+1.76%,70.01%,86%,0,6,0.49534000690369,4332,37.98
2022-10-14,37.55%,-2.82%,64.10%,81%,0,0,0.5032792544011,4355,35.97
2022-10-13,40.37%,-1.42%,73.59%,89%,26.5,55,0.51190887124612,4380,37.11
2022-10-12,41.79%,-2.25%,78.38%,95%,0.4,7,0.51190887124612,4380,36.68
2022-10-11,44.04%,+4.76%,85.94%,98%,0,5,0.5127939142462,4375,37.03
2022-10-10,39.28%,-1.46%,69.91%,87%,0,0,0.5127939142462,4375,37.32
2022-10-07,40.73%,-0.79%,74.81%,92%,0,1,0.51244813278008,4374,37.44
2022-10-06,41.52%,+1.87%,77.46%,95%,0,1,0.51210235131397,4373,37.9
2022-10-05,39.66%,-0.32%,71.19%,90%,0,0,0.51210235131397,4373,38.15
2022-10-04,39.97%,-1.15%,72.26%,91%,1.5,5,0.51176470588235,4369,38.81
2022-10-03,41.13%,-1.78%,76.14%,95%,2,6,0.51124956732433,4366,37.07
2022-09-30,42.91%,+0.34%,82.13%,97%,2,3,0.51436483212184,4375,36.04
2022-09-29,42.57%,+1.54%,80.98%,97%,0.068181818181818,47,0.51436483212184,4375,36.47
2022-09-28,41.03%,-2.25%,75.82%,96%,0,0,0.51436483212184,4375,37.4
2022-09-27,43.28%,+1.44%,83.38%,98%,1.005,401,0.47861658609148,3976,0
2022-09-26,41.84%,+3.12%,78.55%,97%,0,2,0.47861658609148,3976,36.06
2022-09-23,38.72%,+3.52%,68.04%,90%,0,2,0.47861658609148,3976,36.59
2022-09-22,35.19%,-0.69%,56.18%,73%,0.16666666666667,14,0.47822850762933,3972,38.27
2022-09-21,35.89%,+1.97%,58.50%,77%,0,0,0.47822850762933,3972,38.19
2022-09-20,33.91%,+0.83%,51.87%,64%,0,14,0.47965658827921,3964,38.54
2022-09-19,33.09%,-0.86%,49.09%,57%,0.7719298245614,202,0.49735249621785,3959,38.65
2022-09-16,33.95%,+1.04%,51.98%,64%,42,86,0.50662126371547,3982,38.58
2022-09-15,32.91%,-0.28%,48.48%,57%,0,0,0.50889141127507,3988,39.47
2022-09-14,33.19%,-1.67%,49.43%,58%,0,1,0.50889141127507,3988,39.97
2022-09-13,34.86%,+10.26%,55.06%,69%,0,2,0.50927678909504,3986,39.78
2022-09-12,24.60%,-6.72%,20.54%,2%,0.03448275862069,30,0.50927678909504,3986,41.92
2022-09-09,31.32%,-1.16%,43.14%,43%,0,0,0.50927678909504,3986,41
2022-09-08,32.48%,+0.30%,47.03%,54%,1,4,0.51004168245548,3985,39.68
2022-09-07,32.18%,-1.20%,46.03%,51%,0,0,0.51004168245548,3985,40.08
2022-09-06,33.38%,+1.10%,50.07%,61%,0.2,6,0.51063022019742,3979,40
2022-09-02,32.28%,-1.12%,46.37%,52%,0,0,0.51063022019742,3979,39.62
2022-09-01,33.40%,+1.31%,50.13%,62%,0.13333333333333,17,0.51279114165712,3962,39.68
2022-08-31,32.09%,+1.14%,45.74%,52%,2.5,7,0.51184110007639,3958,39.84
2022-08-30,30.95%,+0.46%,41.89%,43%,0.33333333333333,4,0.51126384116075,3958,41.15
2022-08-29,30.49%,+1.25%,40.36%,41%,0,0,0.51126384116075,3958,42.49
2022-08-26,29.24%,+2.36%,36.14%,31%,0,10,0.51322345726332,3948,42.6
2022-08-25,26.88%,-1.87%,28.20%,10%,2,3,0.5138036809816,3948,43.655
2022-08-24,28.75%,-0.29%,34.49%,24%,0,0,0.5138036809816,3948,42.18
2022-08-23,29.04%,-0.11%,35.46%,28%,0.2,12,0.51481338976529,3937,42.15
2022-08-22,29.15%,+0.66%,35.84%,29%,0.16666666666667,7,0.50868580060423,3995,41.9
2022-08-19,28.49%,+2.37%,33.61%,23%,1.25,9,0.51113627784069,4003,41.94
2022-08-18,26.12%,-0.14%,25.64%,4%,15,32,0.50018889308651,3971,43.46
2022-08-17,26.26%,-0.28%,26.12%,5%,0,1,0.49981110691349,3970,44.3
2022-08-16,26.54%,-0.69%,27.07%,6%,0.4,7,0.5,3963,45.46
2022-08-15,27.23%,+0.86%,29.38%,10%,0,2,0.50037878787879,3961,44.91
2022-08-12,26.37%,-2.27%,26.48%,5%,0.33333333333333,4,0.50056882821388,3957,45.95
2022-08-11,28.63%,+0.67%,34.10%,22%,4.2,52,0.49317147192716,3936,45.08
2022-08-10,27.96%,-6.30%,31.84%,17%,0.6,16,0.49505327245053,3929,44.68
2022-08-09,34.26%,+3.85%,53.02%,68%,2,3,0.49448039588885,3926,43.33
2022-08-08,30.40%,-1.65%,40.06%,39%,0.36231884057971,94,0.50977326035966,3862,43.51
2022-08-05,32.05%,+2.52%,45.61%,52%,0,1,0.5095740523642,3863,42.44
2022-08-04,29.54%,+4.01%,37.15%,30%,1,8,0.50880626223092,3855,42.15
2022-08-03,25.53%,-6.82%,23.66%,3%,0,2,0.50920485703094,3853,41.9
2022-08-02,32.35%,+1.63%,46.59%,54%,0,0,0.50920485703094,3853,40.99
2022-08-01,30.72%,+3.46%,41.11%,42%,0,1,0.50940438871473,3852,42.31
2022-07-29,27.26%,-5.63%,29.48%,11%,0,0,0.50940438871473,3852,42.45
2022-07-28,32.89%,+0.01%,48.43%,59%,0.5,3,0.50941176470588,3849,42.87
2022-07-27,32.88%,+0.60%,48.40%,59%,0.25,5,0.5102120974077,3845,42.47
2022-07-26,32.28%,+0.59%,46.37%,55%,0.5,6,0.51022012578616,3842,41.51
2022-07-25,31.69%,+1.43%,44.39%,52%,0,5,0.51082251082251,3839,41.64
2022-07-22,30.27%,-1.15%,39.60%,40%,0,3,0.51142631993696,3836,41.68
2022-07-21,31.42%,-0.80%,43.48%,48%,0,4,0.51223362273086,3832,41.55
2022-07-20,32.22%,-2.32%,46.19%,54%,0,0,0.51223362273086,3832,40.66
2022-07-19,34.54%,-0.49%,53.99%,68%,0,5,0.51324634242784,3827,40.89
2022-07-18,35.03%,+1.52%,55.63%,72%,0.15384615384615,15,0.28511852502195,5855,40.25
2022-07-15,33.51%,-3.38%,50.51%,63%,11,24,0.30500658761528,5943,39.96
2022-07-14,36.89%,+0.60%,61.90%,82%,0,216,0.30346947738252,5936,39.32
2022-07-13,36.29%,-1.11%,59.88%,81%,4,5,0.30331649461893,5934,40.75
2022-07-12,37.41%,+1.44%,63.62%,86%,0.5,6,0.3032967032967,5930,41.2
2022-07-11,35.96%,+2.62%,58.76%,78%,10,11,0.30116509122884,5919,41.33
2022-07-08,33.35%,-1.54%,49.96%,64%,0,3,0.3009452626951,5918,42.44
2022-07-07,34.88%,-0.43%,55.12%,72%,31,32,0.29419525065963,5886,42.91
2022-07-06,35.31%,-3.87%,56.58%,75%,23.714285714286,173,0.31896172459305,5996,41.44
2022-07-05,39.18%,+1.94%,69.59%,91%,0,0,0.31896172459305,5996,41.94
2022-07-01,37.24%,+1.91%,63.07%,86%,0,3,0.31830180378355,5993,42.37
2022-06-30,35.34%,+0.45%,56.66%,76%,0,4,0.31808183018038,5992,42.49
2022-06-29,34.88%,-0.15%,55.13%,74%,0,1,0.31815181518152,5991,43.05
2022-06-28,35.03%,+0.81%,55.62%,75%,5,6,0.31727172717272,5987,43.21
2022-06-27,34.22%,-2.27%,52.90%,73%,0,0,0.31727172717272,5987,44.53
2022-06-24,36.49%,+0.22%,60.52%,83%,0,1,0.31705170517052,5986,44.23
2022-06-23,36.27%,-0.93%,59.80%,82%,0,0,0.31705170517052,5986,42.54
2022-06-22,37.20%,-0.61%,62.91%,86%,0.16666666666667,7,0.31711076855318,5981,42.71
2022-06-21,37.80%,+0.36%,64.95%,89%,0.36363636363636,15,0.31724440544098,6004,43.33
2022-06-17,37.45%,-1.80%,63.75%,88%,0,0,0.34297611220688,6128,42.26
2022-06-16,39.25%,-8.97%,69.82%,91%,0,0,0.34297611220688,6128,42.24
2022-06-15,48.22%,+7.78%,100.00%,100%,0,96,0.3241288625904,6042,43.78
2022-06-14,40.44%,+2.34%,80.30%,95%,2.6153846153846,47,0.32059727711902,6014,41.88
2022-06-13,38.10%,+2.37%,71.73%,91%,0,2,0.32037768994291,6013,42.12
2022-06-10,35.73%,+1.69%,63.07%,83%,0,0,0.32037768994291,6013,43.69
2022-06-09,34.04%,+0.69%,56.87%,75%,0,0,0.32037768994291,6013,44.56
2022-06-08,33.35%,+1.66%,54.35%,72%,0,6,0.31862852151125,6038,47.4
2022-06-07,31.68%,-0.18%,48.26%,63%,0,45,0.32179091310101,5993,47.27
2022-06-06,31.87%,+0.67%,48.93%,64%,1.75,11,0.32098765432099,5992,47.68
2022-06-03,31.20%,+0.31%,46.48%,58%,0,0,0.32098765432099,5992,47.82
2022-06-02,30.89%,-1.35%,45.35%,56%,0.25,5,0.32149161518094,5989,48.63
2022-06-01,32.24%,-0.52%,50.28%,66%,0,2,0.32127096204766,5988,47.58
2022-05-31,32.76%,+1.30%,52.19%,69%,3,4,0.32200397263297,5990,48.37
2022-05-27,31.46%,-1.83%,47.44%,62%,0,3,0.32179091310101,5993,47.89
2022-05-26,33.29%,-0.90%,54.12%,72%,0,5,0.32157813533172,5996,46.95
2022-05-25,34.18%,-2.01%,57.41%,76%,0.33333333333333,4,0.32135772536919,5995,45.6
2022-05-24,36.19%,+1.75%,64.75%,83%,0,0,0.32135772536919,5995,46.46
2022-05-23,34.44%,-1.09%,58.35%,77%,19,200,0.25909000596066,6337,46.89
2022-05-20,35.54%,-1.55%,62.35%,82%,12.5,27,0.29620806035338,6529,45.64
2022-05-19,37.09%,-2.76%,68.03%,87%,0,0,0.29620806035338,6529,45.99
2022-05-18,39.85%,+3.57%,78.13%,94%,14.5,31,0.29521540599563,6524,45.02
2022-05-17,36.28%,-1.15%,65.07%,86%,1.1666666666667,26,0.29329886657387,6504,46.48
2022-05-16,37.43%,+0.28%,69.27%,90%,0,0,0.29329886657387,6504,45.77
2022-05-13,37.15%,-3.28%,68.26%,89%,0,0,0.29329886657387,6504,45.38
2022-05-12,40.43%,-0.47%,80.28%,95%,0.2,6,0.29339171974522,6498,44.15
2022-05-11,40.91%,+0.13%,82.00%,96%,0,1,0.29339171974522,6498,44
2022-05-10,40.78%,-2.12%,81.54%,96%,5,120,0.27498001598721,6380,43.88
2022-05-09,42.90%,+6.50%,89.29%,98%,0,9,0.27470553004592,6385,43.37
2022-05-06,36.40%,-3.17%,65.52%,89%,87.5,177,0.24296266719904,6226,44.83
2022-05-05,39.57%,+7.45%,77.11%,95%,0.25,15,0.24246657353822,6226,45.97
2022-05-04,32.11%,-3.49%,49.83%,72%,0,1,0.24251497005988,6225,48.91
2022-05-03,35.60%,-2.20%,62.59%,87%,0.27777777777778,46,0.24124124124124,6200,47.82
2022-05-02,37.80%,+2.32%,70.64%,93%,0,4,0.24128954745695,6199,46.83
2022-04-29,35.48%,-0.72%,62.15%,87%,0,0,0.24128954745695,6199,47.94
2022-04-28,36.20%,+1.07%,64.79%,88%,0,1,0.24124124124124,6200,47.8
2022-04-27,35.14%,-1.15%,60.89%,86%,1.7333333333333,41,0.24304304304304,6209,47.44
2022-04-26,36.29%,+2.26%,65.12%,90%,5,12,0.24113759262968,6197,47.11
2022-04-25,34.03%,+2.73%,56.85%,83%,0.66666666666667,20,0.23954372623574,6194,47.92
2022-04-22,31.30%,+1.66%,46.87%,68%,4.375,129,0.21849410824845,6101,48.74
2022-04-21,29.65%,+2.61%,40.80%,53%,0.11111111111111,10,0.21864372874575,6092,49.73
2022-04-20,27.04%,+1.26%,31.27%,25%,4.1739130434783,119,0.20052135552436,5987,51.34
2022-04-19,25.78%,-1.21%,26.66%,15%,0.4047619047619,59,0.19935431799839,5944,51.91
2022-04-18,26.99%,+0.15%,31.10%,25%,1.0857142857143,73,0.20772403449569,6442,52.82
2022-04-14,26.84%,+0.21%,30.54%,23%,1.5416666666667,61,0.20704277286136,6547,0
2022-04-13,26.64%,-2.30%,29.79%,21%,19.032258064516,621,0.098708487084871,5955,53.79
2022-04-12,28.94%,-1.42%,38.21%,46%,15.25,195,0.065806451612903,5782,54.38
2022-04-11,30.35%,+1.36%,43.39%,62%,0.031518624641834,360,0.063203777697058,5854,54.86
2022-04-08,29.00%,-1.41%,38.43%,49%,0,379,0.065388951521984,5670,54.9
2022-04-07,30.41%,+0.55%,43.60%,63%,0.11926605504587,366,0.061434799841459,5356,54.39
2022-04-06,29.86%,+1.07%,41.59%,57%,0.05,21,0.061321690811669,5348,54.66
2022-04-05,28.79%,+0.97%,37.68%,46%,0.33333333333333,8,0.061062648691515,5352,54.65
2022-04-04,27.83%,+1.44%,34.15%,34%,0.33333333333333,16,0.061394794357242,5342,56.16
2022-04-01,26.39%,-5.15%,28.87%,20%,0.0014050582095544,4989,0.31578947368421,1275,56.48
2022-03-31,31.53%,+1.56%,47.71%,71%,0,14,0.31611570247934,1274,55.53
2022-03-30,29.98%,+0.19%,42.02%,58%,0.38709677419355,43,0.31536113936928,1293,56.25
2022-03-29,29.79%,-1.66%,41.32%,57%,1,28,0.32520325203252,1304,55.77
2022-03-28,31.45%,+0.35%,47.40%,70%,2.1428571428571,22,0.31729785056295,1287,55.05
2022-03-25,31.10%,+0.05%,46.12%,68%,1.12,53,0.32110091743119,1296,55.28
2022-03-24,31.04%,-2.66%,45.92%,66%,0.75,42,0.30572597137014,1277,55.89
2022-03-23,33.71%,+2.07%,55.67%,83%,0.93975903614458,161,0.23943661971831,1144,54.99
2022-03-22,31.63%,-0.64%,48.08%,71%,6,7,0.23969631236443,1143,55.06
2022-03-21,32.28%,-5.02%,50.44%,75%,0.33333333333333,20,0.94791666666667,1870,54.52
2022-03-18,37.30%,-1.59%,68.80%,92%,0.1,11,0.86432637571158,1965,54.62
2022-03-17,38.89%,-0.43%,74.64%,94%,0.6,32,0.86111111111111,1943,54.68
2022-03-16,39.32%,-4.31%,76.21%,95%,1.375,38,0.84165067178503,1919,55.32
2022-03-15,43.63%,-2.19%,91.97%,98%,0,0,0.84165067178503,1919,51.37
2022-03-14,45.82%,+4.09%,100.00%,100%,0.1,11,0.84230769230769,1916,50.87
2022-03-11,41.73%,+0.02%,87.23%,99%,5,12,0.84149855907781,1917,52.39
2022-03-10,41.72%,+0.70%,87.16%,99%,0.0060816681146829,1158,0.56782945736434,2427,52.91
2022-03-09,41.02%,-3.45%,84.53%,99%,0.10344827586207,128,0.12727272727273,372,0
2022-03-08,44.46%,-0.67%,97.47%,99%,0.54730831973899,1897,0.64457831325301,819,50.7
2022-03-07,45.14%,+4.40%,100.00%,100%,0.63855421686747,272,0.65129682997118,573,50.44
2022-03-04,40.74%,+7.07%,99.35%,99%,0.052631578947368,20,0.65982404692082,566,52.09
2022-03-03,33.67%,+0.13%,67.78%,84%,0.26315789473684,24,0.64516129032258,561,53.95
2022-03-02,33.54%,-6.42%,67.21%,83%,0.5,6,0.64688427299703,555,53.73
2022-03-01,39.96%,+2.77%,95.88%,99%,0.061224489795918,52,0.7190635451505,514,52.73
2022-02-28,37.19%,+7.09%,83.50%,96%,9,30,0.64548494983278,492,52.66
2022-02-25,30.10%,-5.27%,51.83%,59%,0.76744186046512,76,0.64882943143813,493,52.19
2022-02-24,35.37%,+6.47%,75.35%,90%,0.058823529411765,72,0.71428571428571,456,51.35
2022-02-23,28.90%,+3.09%,46.46%,47%,0.041666666666667,25,0.76518218623482,436,51.72
2022-02-22,25.81%,+3.71%,32.67%,16%,0.1,11,2.2921348314607,1172,51.47
2022-02-18,22.10%,-9.47%,16.12%,2%,1.3636363636364,26,1.5603112840467,1316,52.27
2022-02-17,31.57%,+0.25%,58.41%,70%,0,2,1.5583657587549,1315,52.79
2022-02-16,31.33%,-1.95%,57.32%,69%,0.5,9,1.5405405405405,1316,53.39
2022-02-15,33.28%,-3.78%,66.03%,80%,0,8,1.5405405405405,1316,52.01
2022-02-14,37.06%,+0.79%,82.90%,95%,1.25,9,1.534749034749,1313,51.7
2022-02-11,36.27%,+7.31%,79.39%,94%,0,110,1.7471042471042,1423,51.18
2022-02-10,28.96%,+10.47%,46.75%,49%,0.45454545454545,32,1.7378640776699,1410,51.26
2022-02-09,18.50%,-11.58%,0.00%,1%,5.8333333333333,41,1.7504873294347,1411,51.61
2022-02-08,30.07%,-3.05%,43.52%,59%,0,7,1.7573385518591,1409,51.19
2022-02-07,33.12%,+1.33%,59.46%,81%,3.3333333333333,13,1.7803921568627,1418,49.79
2022-02-04,31.80%,-1.94%,52.54%,73%,0,10,1.7607843137255,1408,49.91
2022-02-03,33.74%,+8.06%,62.70%,83%,0,6,1.781746031746,1402,50.26
2022-02-02,25.69%,-4.73%,20.60%,14%,1,4,1.7848605577689,1398,50.07
2022-02-01,30.42%,-4.32%,45.32%,64%,0.25,5,1.79,1395,50.74
2022-01-31,34.73%,-3.44%,67.87%,87%,0.56,39,1.8469387755102,1395,50.73
2022-01-28,38.17%,+3.44%,85.84%,97%,0,9,1.813627254509,1404,48.26
2022-01-27,34.73%,-6.15%,67.85%,86%,0.083333333333333,13,1.813627254509,1404,47.94
2022-01-26,40.89%,+3.57%,97.91%,99%,4.4,27,1.8132530120482,1401,48.07
2022-01-25,37.32%,-3.06%,79.67%,96%,0.28571428571429,9,1.820202020202,1396,48.79
2022-01-24,40.38%,+3.33%,95.32%,99%,0.71428571428571,24,2.4825174825175,1992,48.62
2022-01-21,37.05%,+1.83%,78.28%,95%,0.43333333333333,43,2.2131901840491,2095,49.99
2022-01-20,35.22%,+2.19%,68.94%,89%,1.25,36,2.2093023255814,2070,49.88
2022-01-19,33.03%,+0.18%,57.74%,81%,2.4202898550725,708,2.1141552511416,1364,49.56
2022-01-18,32.85%,+3.47%,56.79%,80%,4.2542372881356,310,2.0434782608696,1330,48.16
2022-01-14,29.38%,-0.81%,39.07%,52%,0,1,2.0388127853881,1331,49.54
2022-01-13,30.19%,+3.72%,43.19%,61%,2.3888888888889,122,2.0456730769231,1267,49.24
2022-01-12,26.47%,-1.50%,24.17%,18%,0.67543859649123,191,2.762987012987,1159,50.85
2022-01-11,27.97%,-1.26%,31.85%,36%,2,48,2.8184818481848,1157,48.95
2022-01-10,29.23%,+0.27%,38.29%,50%,2,3,2.8344370860927,1158,47.73
2022-01-07,28.96%,-8.83%,36.90%,48%,1.1,21,2.9556313993174,1159,47.31
2022-01-06,37.78%,+8.14%,82.04%,97%,2.25,13,2.9653979238754,1146,47.18
2022-01-05,29.65%,+0.81%,40.43%,53%,3.5263157894737,86,3.078853046595,1138,46.86
2022-01-04,28.83%,+0.14%,36.27%,46%,0.73684210526316,33,3.35,1131,46.84
2022-01-03,28.70%,-0.14%,35.58%,44%,4.75,69,3.408,1102,47.08
2021-12-31,28.83%,+0.71%,36.28%,46%,0,0,3.408,1102,46.4
2021-12-30,28.12%,-0.36%,32.62%,36%,0.14285714285714,8,3.4816326530612,1098,47
2021-12-29,28.48%,+0.60%,34.46%,42%,12,26,3.4,1078,46.29
2021-12-28,27.88%,-0.09%,31.40%,35%,0.5,3,3.4098360655738,1076,46.17
2021-12-27,27.97%,+1.26%,31.85%,36%,0,8,3.4139344262295,1077,47.13
2021-12-23,26.70%,-5.77%,25.38%,19%,0.1875,19,3.405737704918,1075,46.61
2021-12-22,32.48%,+1.40%,54.91%,73%,11.666666666667,38,3.2757201646091,1039,46.41
2021-12-21,31.07%,-2.15%,47.74%,64%,1,24,3.3793103448276,1016,45.63
2021-12-20,33.23%,+0.64%,58.75%,79%,2,30,19.10612244898,4926,45.15
2021-12-17,32.59%,+1.02%,55.49%,74%,3,24,18.217898832685,4939,45.46
2021-12-16,31.57%,-3.85%,50.25%,68%,0,120,18.198443579767,4934,45.67
2021-12-15,35.42%,+1.78%,69.96%,91%,0.5,3,18.265625,4932,45.14
2021-12-14,33.64%,+0.96%,60.86%,81%,3.5,9,18.337254901961,4931,44.59
2021-12-13,32.68%,+1.21%,55.94%,77%,0.66666666666667,40,17.926923076923,4921,44.32
2021-12-10,31.47%,-1.24%,49.74%,69%,0,4,17.911538461538,4917,45.45
2021-12-09,32.71%,+1.33%,56.11%,77%,0,27,17.807692307692,4890,46.01
2021-12-08,31.38%,-2.13%,49.31%,69%,13.777777777778,133,17.98814229249,4804,47.2
2021-12-07,33.51%,-4.07%,60.19%,80%,69.772727272727,1557,24.83829787234,6072,46.94
2021-12-06,37.58%,-2.07%,81.01%,97%,0.64444444444444,74,29.979381443299,6010,46.24
2021-12-03,39.65%,+1.24%,91.58%,99%,0.375,11,30.302083333333,6010,45.76
2021-12-02,38.40%,-0.48%,85.22%,98%,5001,5002,4.3979057591623,1031,45.7
